loneliness,-1.097341786,-1804294818
encourage,-0.932412778,-1801315785
expert,-1.300171958,-1790096418
buying,-0.911744102,-1789499680
qualities,-0.867339765,-1787295489
frown,-0.747063507,-1780172581
version,-1.060566993,-1765077733
slap,-0.448051382,-1756740914
impress,-0.327260786,-1753073965
avoided,-0.857621043,-1750522657
fireplace,-1.51401414,-1750112929
delicately,-0.380991508,-1749276750
interrupt,-0.437601551,-1736247233
discussing,-0.592839138,-1732680038
mixture,-0.763863456,-1728157816
prompted,-0.556477271,-1726327910
stamped,-0.520917231,-1695002613
demanding,-0.397063068,-1693912583
stirring,-0.812958262,-1687158556
related,-1.077232712,-1684419178
blankets,-1.480876149,-1684084290
nail,-0.525522556,-1680218749
flies,-1.186354834,-1676585651
fork,-1.47948578,-1664729857
relatives,-1.219845587,-1660778857
sticks,-0.960050848,-1639230398
politely,-0.977746008,-1635328897
referred,-0.571761258,-1624476364
bags,-1.416853396,-1622883983
embarrassment,-0.860273807,-1619544636
bathed,-0.550778015,-1610789743
disappointment,-1.418668615,-1610540738
lids,-0.612141742,-1598023142
rejected,-0.759338803,-1587894439
rude,-1.014995103,-1584021803
romance,-0.96529457,-1583349260
habits,-1.037110181,-1581929789
alternative,-0.640007642,-1581906729
shoe,-0.761508548,-1578883235
complaint,-0.545811308,-1574608288
delivered,-1.172505435,-1560151058
shaded,-0.286119982,-1554834056
pronounced,-0.922247556,-1554176775
fitting,-0.436037173,-1546098898
pitched,-0.686202712,-1544753704
remarks,-1.576080054,-1539540720
charm,-1.355163156,-1537625676
covers,-0.487351329,-1532532197
rarely,-0.964949515,-1525053286
thigh,-0.655435383,-1522394349
conversations,-0.453812027,-1485676960
collect,-0.602474229,-1473120062
longing,-1.161189392,-1462652586
sustained,-0.420713527,-1461766470
accent,-0.983500576,-1457546615
recovery,-0.525685685,-1454142609
linen,-1.244564432,-1452787567
opinions,-0.928359519,-1451570894
elbows,-0.763099557,-1444338212
hire,-0.651103425,-1441737342
admire,-0.989328052,-1438019749
hushed,-0.424831591,-1436048627
strict,-0.532947114,-1423376509
welcomed,-0.516006564,-1419534897
chattering,-0.461156442,-1416953430
failing,-0.420026257,-1413950344
compliment,-0.391426127,-1410690967
irritated,-0.544676822,-1408985763
pillow,-1.534507368,-1397912434
tightened,-1.061068357,-1388716116
scraped,-0.392623349,-1387971401
stooped,-0.588312007,-1386245548
log,-1.544339707,-1376605591
embarrassed,-1.394445849,-1373648123
warn,-0.847916499,-1361171986
blame,-1.774699939,-1359459300
positive,-1.160250881,-1359074495
measured,-0.414735989,-1357364839
satisfactory,-0.724524011,-1353041351
kissing,-0.744432394,-1350357316
bedside,-0.616632787,-1346816330
corners,-0.948518121,-1343784423
plucked,-0.465964816,-1341472002
hip,-1.070684031,-1335800152
dusk,-1.247868331,-1325493924
suspicions,-0.87322796,-1324395444
straw,-1.305050327,-1322184656
pour,-0.452847067,-1317475280
instructed,-0.519083851,-1315435649
damp,-1.485642704,-1313116949
inquiry,-1.055886711,-1310227892
purse,-1.638204614,-1308064047
clipped,-0.241202699,-1307081899
swim,-1.323197247,-1305169003
removing,-0.365740878,-1304433986
fortunately,-1.132016041,-1301133664
praying,-0.979766312,-1300423006
pound,-0.81856586,-1296483123
collection,-1.776294449,-1295283133
squeezed,-1.474369493,-1293967324
opposed,-0.814050558,-1289051519
pursued,-0.890102878,-1285785659
shadowy,-0.741920535,-1285013174
parting,-0.883894682,-1283597077
glistening,-0.568966287,-1280496047
positions,-0.734657807,-1280194833
loaded,-1.279742428,-1274881368
handy,-2.227421754,-1273547138
loves,-1.38732544,-1269565849
jealous,-1.134835559,-1269490529
shower,-1.731989082,-1268633987
shy,-0.845076598,-1265353145
egg,-0.945883476,-1264917400
ruled,-0.562752002,-1259685363
ticket,-1.799524611,-1256899976
pains,-0.661450984,-1255252763
sucked,-0.891875327,-1249636697
butter,-1.355602062,-1238650913
wool,-1.120941691,-1238032008
tragedy,-0.787008554,-1236765959
declare,-0.885803951,-1231292243
hunched,-0.534903053,-1223116548
weeping,-1.266546809,-1217573849
washing,-0.690273059,-1215768432
parted,-0.956078675,-1212855321
scratched,-0.584653145,-1207799125
velvet,-1.304577608,-1205903794
arguing,-0.396713093,-1204392145
pretended,-0.639120429,-1203117037
fists,-1.261531134,-1202192841
wounds,-0.854895739,-1193533232
